185
92147267851/325681095675,80360991036/108560365225
79109/264525,376721/793575
23569033/78638025,4571533/10485070
3829583/12676575,16814354/38029725
1345773257443/4445665923775,154896471261/355653273902
19013/61125,56867/122250
4601311/14681400,4369867/7340700
63/200,1/2
6769249/21390625,6164568/21390625
571219021/1800547800,43622723/90027390
43211/136050,419729/870720
3147233/9867825,14371429/29603475
1771643/5514900,8065951/17647680
3618486641/11151267675,938583769/1878108240
3698446253/11383645400,245885589/569182270
36351689/111868600,8063127/13983575
160762679/493695600,7941516203/15798259200
1602081269/4899660600,1450864643/2449830300
199/600,377/600
41/120,19/60
186407287/543452475,475965371/869523960
7064784860063/20514338099400,512063195857/1025716904970
3905347/11200200,216616/466675
1173302141/3351210600,103880144/139633775
39089887/109269975,51163523/87415980
11007287309/30602921325,1740131393/4080389510
7232446027/20002231875,47619820631/80008927500
2431007/6705375,5688593/13410750
3070165999297/8465387183265,12020454565693/28217957277550
3773291980171/10372658316840,646622493866/1296582289605
1456582840529/3999604722600,424858636151/999901180650
18981382645111/52096291157400,1848197606203/4341357596450
35825771153/98315289225,930140313322/2064621073725
677500308067/1858439749800,119057637076/232304968725
4845132763373/13265966203125,14312277928859/30953921140625
32169260083/87991887960,15601007519/36663286650
431551912583/1180226015400,30138684257/59011300770
486183558707/1322498092200,83901453638/165312261525
6196177595498/16847651478525,188168141300371/377387393118960
1459373865697/3962194061475,642066613207/1267902099672
1913415348707/5191686841875,5291981349623/10383373683750
22679566831/61507759800,10304480036/23065409925
236324888053/640887328125,985173661313/1922661984375
29608462052521/80276802479400,659663372555381/1284428839670400
8093963897/21871920000,133604181/260380000
11733278158309/31673335416600,2034984319666/3959166927075
1688536159501/4541175482280,87352875286/189215645095
2699994871333/7242887506200,931764242327/1810721876550
2550674099589/6834091658200,85163639723/170852291455
1103668761199/2954009250075,1924560558829/3308490360084
60044886165487/160708367296875,374022207168911/642833469187500
9383569616/25104776115,11974161499567/20585916414300
3113552531/8327945625,83518284097/133247130000
4725622375898/12542167359375,880320193980457/1404722744250000
740377/1961625,2495023/3923250
54123898433/143219645850,281218732717/572878583400
4328446450349/11407151632440,2842088201029/5703575816220
14306242050533/37314664786200,9650706034079/18657332393100
68644867853/178811313600,4845417077/11175707100
91199669401/237429671400,92724179957/178072253550
9431252712541/24093137752500,6771159169531/12046568876250
17349309760039/44204231576400,24795896187719/44204231576400
61502346097/156147972360,3693084497/6506165515
2032082004241/5134626454200,1480583679523/2567313227100
322758691993/811664502800,350808859097/608748377100
1009057079437/2537237450200,145526630708/317154681275
443742772327/1111219994400,9726717961/23150416550
165104677739/410465912400,279542860411/410465912400
17259912688159/42518801063400,13300336294807/21259400531700
523029231319/1285965648600,202345078411/321491412150
837159109303/2056727735400,9126501599/20567277354
3793421/9267240,148732/231681
7820859585559/18884956312500,2535049942622/4721239078125
7768766279/18712092600,231872351/779670525
16236277716017/38750728155000,3028101311318/4843841019375
3761772457/8965357500,2808449437/4482678750
71853400971041/169906898009400,89580083069203/169906898009400
7467137039/17653426360,4198991627/6620034885
2361425351659/5568963024200,115896261351/278448151210
1099605767917/2575230375000,402284799911/643807593750
5811017239/13604442280,50530120/78487167
124991208515729/291222630611400,7869112434837/12134276275475
51066198978317/118038557812200,32325471139852/50166387070185
1534985891441/3546992250000,22417321021/49263781250
4688603137/10640792040,431835887599/691651482600
35691181361/79769148600,3772550864/9971143575
464802731/1037111832,1339834609/2160649650
1240237444622627/2759329728448200,860954708929631/1379664864224100
87700357789639/194586283787800,19319276069013/38917256757560
50270135787/110785734200,51420211957/83089300650
772725166333/1691969413800,650672797993/1057480883625
552009458401/1198478698800,33681575329/59923934940
139/300,109/150
382665826939/814464772200,6965231102/20361619305
15307885850069/32408963812500,695975634889/1473134718750
127068362149/261687183000,90333424/261687183
114816064755853/235103660089800,11306360854017/19591971674150
2589371258309/5252745674200,40006624443/131318641855
17387202518781/35194296687500,3945261244223/8798574171875
258074365/509187624,24288435047/41371494450
12466410660023/24441091801800,6732379424173/12220545900900
328280112165437/642162516442200,882199073527351/1605406291105500
1064434042913/2076336812460,67750882670/103816840623
77/150,163/600
12558221525557/24452686555800,6725879172559/12226343277900
16102377372403/30814583519400,761926372547/1540729175970
8391968116331/15916216957800,40832086279/132635141315
2634706583/4993945800,578087776/1872729675
3850093/7286100,186986/607175
15964230781/29961375000,4502730223/7490343750
5190712082327/9725527335000,6039118932289/9725527335000
65729528573/123065777400,2003703467/6153288870
5850024364351/10839929009500,2156174757981/5419964504750
630270638873/1160322847500,176003582434/290080711875
425187211671/781408433800,41821553723/117211265070
